nl,nl_template,sql,sql_template
What was the max length of stay in ICU for patients with Medicaid,What was the max length of stay in ICU for patients with INSURANCE_1,select max(los) from ICUSTAYS where subject_id IN (select distinct subject_id from ADMISSIONS where insurance like '%Medicaid%'),select max(los) from ICUSTAYS where subject_id IN (select distinct subject_id from ADMISSIONS where insurance like '%INSURANCE_1%')
What was the average length of stay in ICU for patients with no coverage,What was the average length of stay in ICU for patients with no coverage,select avg(los) from ICUSTAYS where subject_id IN (select distinct subject_id from ADMISSIONS where insurance like 'Self Pay'),select avg(los) from ICUSTAYS where subject_id IN (select distinct subject_id from ADMISSIONS where insurance like 'Self Pay')
What was the max length of stay in ICU for patients with no coverage,What was the max length of stay in ICU for patients with no coverage,select max(los) from ICUSTAYS where subject_id IN (select distinct subject_id from ADMISSIONS where insurance like 'Self Pay'),select max(los) from ICUSTAYS where subject_id IN (select distinct subject_id from ADMISSIONS where insurance like 'Self Pay')
What was the average length of stay in ICU for patients with no coverage,What was the average length of stay in ICU for patients with no coverage,select avg(los) from ICUSTAYS where subject_id IN (select distinct subject_id from ADMISSIONS where insurance like 'Self Pay'),select avg(los) from ICUSTAYS where subject_id IN (select distinct subject_id from ADMISSIONS where insurance like 'Self Pay')
How many BLACK patients suffer from immunodeficiency,How many ETHINICITY_1 patients suffer from PROBLEM_1,select count(distinct subject_id) from ADMISSIONS where ethnicity like '%BLACK%' and subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%')),select count(distinct subject_id) from ADMISSIONS where ethnicity like '%ETHINICITY_1%' and subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients have immunodeficiency who are BLACK,How many patients have PROBLEM_1 who are ETHINICITY_1,select count(distinct subject_id) from ADMISSIONS where ethnicity like '%BLACK%' and subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%')),select count(distinct subject_id) from ADMISSIONS where ethnicity like '%ETHINICITY_1%' and subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many immunodeficiency patients have been admitted who are BLACK,How many PROBLEM_1 patients have been admitted who are ETHINICITY_1,select count(distinct subject_id) from ADMISSIONS where ethnicity like '%BLACK%' and subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%')),select count(distinct subject_id) from ADMISSIONS where ethnicity like '%ETHINICITY_1%' and subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many BLACK  patients have immunodeficiency,How many ETHINICITY_1  patients have PROBLEM_1,select count(distinct subject_id) from ADMISSIONS where ethnicity like '%BLACK%' and subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%')),select count(distinct subject_id) from ADMISSIONS where ethnicity like '%ETHINICITY_1%' and subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many BLACK  patients have been admitted for immunodeficiency,How many ETHINICITY_1  patients have been admitted for PROBLEM_1,select count(distinct subject_id) from ADMISSIONS where ethnicity like '%BLACK%' and subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%')),select count(distinct subject_id) from ADMISSIONS where ethnicity like '%ETHINICITY_1%' and subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients with Diabetes under 1.5 age,How many patients with PROBLEM_1 under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 1.5 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with Diabetes under 4.9 age,How many patients with PROBLEM_1 under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 4.9 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with Diabetes under 3.54 age,How many patients with PROBLEM_1 under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 3.54 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with heart failure under 1.5 age,How many patients with PROBLEM_1 under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 1.5 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with heart failure under 4.9 age,How many patients with PROBLEM_1 under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 4.9 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with heart failure under 3.54 age,How many patients with PROBLEM_1 under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 3.54 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many Diabetes patients were under 1.5 age,How many PROBLEM_1 patients were under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 1.5 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many Diabetes patients were under 4.9 age,How many PROBLEM_1 patients were under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 4.9 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many Diabetes patients were under 3.54 age,How many PROBLEM_1 patients were under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 3.54 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many heart failure patients were under 1.5 age,How many PROBLEM_1 patients were under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 1.5 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many heart failure patients were under 4.9 age,How many PROBLEM_1 patients were under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 4.9 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many heart failure patients were under 3.54 age,How many PROBLEM_1 patients were under NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 3.54 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with Diabetes under 1.5 years,How many patients with PROBLEM_1 under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 1.5 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with Diabetes under 4.9 years,How many patients with PROBLEM_1 under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 4.9 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with Diabetes under 3.54 years,How many patients with PROBLEM_1 under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 3.54 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with heart failure under 1.5 years,How many patients with PROBLEM_1 under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 1.5 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with heart failure under 4.9 years,How many patients with PROBLEM_1 under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 4.9 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with heart failure under 3.54 years,How many patients with PROBLEM_1 under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 3.54 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many Diabetes patients were under 1.5 years,How many PROBLEM_1 patients were under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 1.5 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many Diabetes patients were under 4.9 years,How many PROBLEM_1 patients were under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 4.9 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many Diabetes patients were under 3.54 years,How many PROBLEM_1 patients were under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 3.54 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many heart failure patients were under 1.5 years,How many PROBLEM_1 patients were under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 1.5 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many heart failure patients were under 4.9 years,How many PROBLEM_1 patients were under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 4.9 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many heart failure patients were under 3.54 years,How many PROBLEM_1 patients were under NUMERIC_1 years,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < 3.54 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) < NUMERIC_1 "
How many patients with Diabetes over 1.5 age,How many patients with PROBLEM_1 over NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) > 1.5 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) > NUMERIC_1 "
How many patients with Diabetes over 4.9 age,How many patients with PROBLEM_1 over NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) > 4.9 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) > NUMERIC_1 "
How many patients with Diabetes over 3.54 age,How many patients with PROBLEM_1 over NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) > 3.54 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) > NUMERIC_1 "
How many patients with heart failure over 1.5 age,How many patients with PROBLEM_1 over NUMERIC_1 age,"select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) > 1.5 ","select count(distinct ADMISSIONS.subject_id) from ADMISSIONS, PATIENTS where ADMISSIONS.subject_id IN(select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%')) and PATIENTS.subject_id = ADMISSIONS.subject_id and ROUND( (cast(admittime as date) - cast(dob as date)) / 365.242) > NUMERIC_1 "
