nl_template,sql_template,sql,ANSWER,MIMIC TABLES USED,DESCRIPTION,TASK FOR YOU GUYS,
How many patients have PROBLEM_1 and are females,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F',,,,,,
How many PROBLEM_1 patients have been admitted who are females,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F',,,,,,
How many female patients have PROBLEM_1 ,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F',,,,,,
How many males suffer from PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M',,,,,,
How many male patients suffer from PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M',,,,,,
How many PROBLEM_1 patients are males,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M',,,,,,
How many patients have PROBLEM_1 and are males,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M',,,,,,
How many PROBLEM_1 patients have been admitted who are males,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M',,,,,,
How many male patients have PROBLEM_1 ,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M',,,,,,
How many patients were tested for TEST_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') ,,,,,,
How many patients had TEST_1 test performed,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') ,,,,,,
How many patients were tested for TEST_1 positive,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE',,,,,,
How many patients had positive TEST_1 test,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE',,,,,,
How many patients had positive labs for TEST_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE',,,,,,
How many patients had positive results for TEST_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE',,,,,,
How many patients had TEST_1 test performed and had positive results,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE',,,,,,
How many patients were tested for TEST_1 and had positive results,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE',,,,,,
How many patients were tested for TEST_1 negative,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE',,,,,,
How many patients had negative TEST_1 test,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE',,,,,,
How many patients had negative labs for TEST_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE',,,,,,
How many patients had negative results for TEST_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE',,,,,,
How many patients had TEST_1 test performed and had negative results,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE',,,,,,
How many patients were tested for TEST_1 and had negative results,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE',,,,,,
How many patients were tested for TEST_1 whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients had TEST_1 test whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients had labs for TEST_1 whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients had results for TEST_1 greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients had TEST_1 test performed and whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients were tested for TEST_1 and had results greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients were tested for TEST_1 whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients had TEST_1 test whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients had labs for TEST_1 whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients had results for TEST_1 above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients had TEST_1 test performed and whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients were tested for TEST_1 and had results above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1,,,,,,
How many patients were tested for TEST_1 whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients had TEST_1 test whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients had labs for TEST_1 whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients had results for TEST_1 lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients had TEST_1 test performed and whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients were tested for TEST_1 and had results lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients were tested for TEST_1 whose results were below NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients had TEST_1 test whose results were below NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients had labs for TEST_1 whose results were below NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients had results for TEST_1 below NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients had TEST_1 test performed and whose results were below NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients were tested for TEST_1 and had results below NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1,,,,,,
How many patients were tested for TEST_1 whose results were between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients had TEST_1 test whose results were between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients had labs for TEST_1 whose results were between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients had results for TEST_1 between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients had TEST_1 test performed and whose results were between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients were tested for TEST_1 and had results between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients were tested for TEST_1 whose results were between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients had TEST_1 test whose results were between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients had labs for TEST_1 whose results were between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients had results for TEST_1 between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients had TEST_1 test performed and whose results were between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients were tested for TEST_1 and had results between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 and valuenum < NUMERIC_2,,,,,,
How many patients suffering from PROBLEM_1 were tested for TEST_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') ),,,,,,
How many PROBLEM_1 patients have been given TEST_1 test,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') ),,,,,,
How many PROBLEM_1 patients have been tested for TEST_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') ),,,,,,
How many people with PROBLEM_1 were tested for TEST_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') ),,,,,,
How many people suffering from PROBLEM_1 were tested for TEST_1 ,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') ),,,,,,
How many patients suffering from PROBLEM_1 were tested for positive TEST_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE' ) ,,,,,,
How many PROBLEM_1 patients have been given TEST_1 test with positive results,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE' ) ,,,,,,
How many PROBLEM_1 patients have been tested for positive TEST_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE' ) ,,,,,,
How many people with PROBLEM_1 were tested for positive TEST_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE' ) ,,,,,,
How many people suffering from PROBLEM_1 were tested for positive TEST_1 ,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE' ) ,,,,,,
How many patients suffering from PROBLEM_1 were tested for TEST_1 above NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 ) ,,,,,,
How many PROBLEM_1 patients have been given TEST_1 test whose results were greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 ) ,,,,,,
How many PROBLEM_1 patients have been tested for TEST_1 above NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 ) ,,,,,,
How many people with PROBLEM_1 were tested for TEST_1 with results greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 ) ,,,,,,
How many people suffering from PROBLEM_1 were tested for TEST_1 values greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 ) ,,,,,,
How many patients suffering from PROBLEM_1 were tested for TEST_1 below NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 ) ,,,,,,
How many PROBLEM_1 patients have been given TEST_1 test whose results were less than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 ) ,,,,,,
How many PROBLEM_1 patients have been tested for TEST_1 below NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 ) ,,,,,,
How many people with PROBLEM_1 were tested for TEST_1 with results lesser than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 ) ,,,,,,
How many people suffering from PROBLEM_1 were tested for TEST_1 values lesser than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 ) ,,,,,,
How many people were treated with TREATMENT_1 dosage greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1,,,,,,
How many people were administered TREATMENT_1 greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1,,,,,,
How many people were administered TREATMENT_1 dosage above NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1,,,,,,
How many people were given TREATMENT_1 dosage above NUMERIC_1 in the hospital,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1,,,,,,
How many people were treated with TREATMENT_1 dosage lesser than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) < NUMERIC_1,,,,,,
How many people were administered TREATMENT_1 lesser than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) < NUMERIC_1,,,,,,
How many people were administered TREATMENT_1 dosage below NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) < NUMERIC_1,,,,,,
How many people were given TREATMENT_1 dosage below NUMERIC_1 in the hospital,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) < NUMERIC_1,,,,,,
How many people were treated with TREATMENT_1 dosage between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1 and cast(dose_val_rx as float) < NUMERIC_2,,,,,,
How many people were administered TREATMENT_1 between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1 and cast(dose_val_rx as float) < NUMERIC_2,,,,,,
How many people were administered TREATMENT_1 dosage between NUMERIC_1 and NUMERIC_2,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1 and cast(dose_val_rx as float) < NUMERIC_2,,,,,,
How many people were given TREATMENT_1 dosage between NUMERIC_1 and NUMERIC_2 in the hospital,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1 and cast(dose_val_rx as float) < NUMERIC_2,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
surgery ecg,,,,,,,
lab -- place icu..ward,,,,,,,
symptoms,,,,,,,
intervention,what was the max length of stay in patients who were in the ICU and have no insurance,,,,,,
,What was the max length of stay in ICU for patients with no insurance,,,,,,
,,,,,,,
"For patients who came in with bloody stools and abdominal pain, what was there RBC",,,,,,,
"Patients experiencing drug-induced platelet disorders, what were the medication regimens",,,,,,,
,,,,,,,
What was the max length of stay for patients in ICU for patients with no insurance?,,,,,,,
What was the max length of stay for patients in ICU for patients with medicare?,,,,,,,
"For patients under 65 who came in for a stroke, what comorbidities did they have?",,,,,,,
How many patients had blood transfusions with an RBC over  7 g/dL ,,,,,,,
"What patients had platelets < 50,000 cells/μL after 3 days of steroids?",,,,,,,
What procedures were performed for patients with Do not rescusciate orders?,,,,,,,
What patients were given Warfarin and Tamoxifen ,,,,,,,
From patients had induction therapy ,,,,,,,
How many patients suffer from diabetes?,"select distinct icd9_code from D_ICD_DIAGNOSES where icd9_code IN ('24960',9623,24930,24981,24901,V1221,24991,7751,24920,7750,24990,24950,36204,V180,36229,24911,24940,36203,24961,24941,24910,5881,24980,36206,24971,36201,24951,24970,36205,V771,25511,E9323,24900,3572,24931,36202,24921)",,,,,,
What patients left being prescribed amoxocillin,,,,,,,
the number of women admitted for overdoses - average age/ min/ max age etc,,,,,,,
What procedures were done for patients who were admitted with overdoses?,,,,,,,
Which patients smoke?,,,,,,,
Which patients have a history of tobacco use,select count(distinct subject_id) from D_ICD_DIAGNOSES where icd9_code is ('V1582'),,,,,,
Who reports experiencing second hand smoke?,select count(distinct subject_id) from D_ICD_DIAGNOSES where icd9_code is ('E8694'),,,,,,
"of patients who reports experiencing second hand smoke, what is the youngest age?",,,,,,,
Did the adverse event appear after the suspected drug was administered? for example ---> did a patient come in with cdiff or after given antibiotics,,,,,,,
"Which patients with sepsis had major surgery, acute myocardial infarc-tion, or initiation of corticosteroid therapy?",,,,,,,
Which patients died with amputations?,,,,,,,
,,,,,,,
Which category of clinical notes are lowest?,,,,,,,
What is the DRG code for CIRRHOSIS & ALCOHOLIC HEPATITIS,,,,,,,
Average age of patients?,,,,,,,
Average age of patients with cancer,,,,,,,
Number of people who went to psychiatric ward,,,,,,,
How many patients?,,,,,,,
How many patients do we not have prescription info on,,,,,,,
"Of all Patients who came in for Renal Reasons, which patients had renal failure and were put on hemodialysis?",,,,,,,
What was the average length of stay for patients in the psychiatric ward for schizophrenia?,,,,,,,
How many patients were re-admitted after having surgery within two months?,,,,,,,
"Out of the patients who got HAC (hospital acquired infections), how many were prescribed amoxicillin",,,,,,,
"For patients given phenobarbitone, what was the noted reason they were admitted for",,,,,,,
How many patients who taking pravastatin were under 50?,,,,,,,
Wat is the ratio of patients with sepsis after catheter procedure to patients who had catheter procedure but didn't get sepsis,,,,,,,
were any patients who were taking atropine also taking stimulants of any kind ,,,,,,,
"Patients with diarrhea over 70 years old, what co-morbidities did they have",,,,,,,
Most common co-morbidities of patients with disease/disorder > 5,,,,,,,
Were any patients taking TCA's (tri-cyclic-antidepressants) taking a benzodiazepine such as klonopin as well?,,,,,,,
How many times was ketamine provided in the hospital?,,,,,,,
How many female obese patients had Polycystic Ovary Syndrome in the MIMIC III database?,,,,,,,
How many patients died with this disease <>?,,,,,,,
How many patients died with this disease in the hospital?,,,,,,,
What patients with sepsis were given LACTATED RINGER’S VERSUS NORMAL SALINE,,,,,,,
"Looking at patients who failed of antimicrobial therapy, what organisms appeared in labs?",,,,,,,
Which patients with carcinoma died in our hospital?,,,,,,,
"notes: cancer is very broad: when looking at icd9 must specify whether carcinoma, tumor, malignant neoplasm, and etc",,,,,,,
Patients who died with sepsis were noted to have UTI?,,,,,,,
Patients who refused blood transfusions?,,,,,,,
Which patients were Jehovah's Witnesses and died at the hospital?,,,,,,,
Religious break down of deaths***,,,,,,,
"Patients with schizophrenia,how many had re-admission within 30 days?",,,,,,,
What was the main reason for re-admission?,,,,,,,
BONE MARROW TRANSPLANT,,,,,,,
patients with coma / VIRAL MENINGITIS / etc (looking at drgs),,,,,,,
